"eng__001","eng__002","eng__003","afr__001","afr__002","afr__003","afr__004","afr__005","afr__006","xho__001","xho__002","xho__003","xho__004","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","Syonym__-","nso__002","nso__003","nso__004","sot__001","sot__002","sot__003","ven__001","ven__002","ven__003","ven__004","ven__005","ven__006","tso__001","tso__002","tso__003","tso__004"
"medication reconciliation","","","medikasierekonsiliasie","","","","","","uhlengahlengisomayeza","","","","kucatsanisa nekuvumelanisa imitsi","","","","ukuthonyaniswa kweenhlahla","","","molemo wa tlhomamiso","thuno ya melemo","papiso ya melemo","","tsinkelopapetšohlare","","","","","nyalanyo ya kalafo","","","khonanyamishonga","","","","","","mfananisomurhi","","",""
"medication shortage","","","medisynetekort","medikasietekort","","","","","ukunqongophala kwamayeza","","","","kwesweleka kwemitsi","","","","ukutlhayela kweenhlahla","","","tlhaelomelemo","","","","tlhaelelohlare","","","","","kgaello ya meriana","","","ṱhahelelo ya mishonga","","","","","","nkayivelamurhi","","",""
"medulla {most internal part of e.g. organ}","","","medulla","","","","","","imedula","","","","imedula","lingekhatsi lesitfo","","","imedula","","","medula","bogaresere","","","medula","","","","","medula","","","meduḽa","","","","","","medula","","",""
"meiosis {genetics}","","","meiose","","","","","","imeyosisi","","","","imeyosisi","kutiphindzaphindza kwenhlayiya","","","ukuzandisa kweseli","imeyosisi","","katisosele","","","","katišosele","","meyosisi","","","meyosisi","","","vhuandisatsiki","vhuandisasele","","","","","vuandzisatisele","mayosisi","",""
"melanoma {skin cancer}","","","melanoom","","","","","","imelanoma","","","","imelanoma","umdlavuta wesikhumba","","","umhlobo wekankere yesikhumba","imelanoma","","melanoma","","","","kankeretlalo","","melanoma","","","melanoma","","","ṱhahala ya lukanda","khentsa ya lukanda","pfuko ya lukanda","","","","mfukuzana ya nhlonge","melanoma","",""
"melatonin {hormone}","","","melatonien","","","","","","imelathonini","","","","ihomoni lesita kulala","imelathonini","","","ihomoni elawula ukulala","imelathonini","","homouni ya boroko","melatonini","","","homouneserobatši","","melathonini","","","melathonini","","","homonindangaeḓela","homoni ya u thusa u eḓela","meḽathononi","","","","homoni yo lawula maetlelelo","melathonini","",""
"menopause","","","menopouse","","","","","","ukuyeka ukuya exesheni","imenophozi","","","kungasayi esikhatsini","kungasagezi","imenophozi","","ukungasahlambi","imenophosi","","kemoleruri ya kgwedi","phifalo ya kgwedi","menophose","","kemoruritlhapo","","menophose","","","kemisorurikgweding","menophose","","u ima u ya maḓuvhani lwa tshoṱhe","u sa tsha vhona maḓuvha","u khauwa ha maṱambo","menephousu","","","nkhaluton’hweti","menophoso","",""
"mercurial ointment <Archaic>","blue ointment","","kwiksalf","blousalf","","","","","isithambiso semetyhuri","","","","umutsi wemekhyuri","","","","isalufu yemekhyuri","","","setlolo sa mekhuri","","","","setlolomekhuri","","","","","setlolo sa mekhiuri","setlolo sa sekete","","mushonga wa nnda","mushonga wa mekhuri","mapfura a mekhuri","","","","mafurha ya mekhuri","","",""
"metabolic rate","","","metaboliese tempo","","","","","","izinga loguqulokutya emzimbeni","","","","lizinga lekugaya kudla emtimbeni","","","","izinga legayokudla emzimbeni","izinga lesilokudla emzimbeni","","kelo ya tirisomaatla","","","","kelotšhilego","","methapollikireiti","","","sekgahla sa tshebetso ya mmele","","","muelo wa methaboḽizimu","phimo ya methaboḽizimu","","","","","mpimampfuveloseleni","mpimanghayeloseleni","",""
"metabolism","","","metabolisme","","","","","","uguqulokutya emzimbeni","","","","kugaya kudla emtimbeni","imethabholizimu","","","igayokudla emzimbeni","isilokudla emzimbeni","imethabholizimu","tirisomaatla","methabolisime","","","tšhilegokhemikhale","","methapolisime","","","tshebetso ya mmele","methabolisimi","","methaboḽizimu","","","","","","mpfuveloseleni","nghayeloseleni","",""
"metabolite","","","metaboliet","","","","","","isicolwa","","","","umkhicito wekugaya","","","","okugayiweko","okusiliweko","","kuno ya tirisomaatla","methabolaete","","","setšweletšwatšhilo","","methapolaete","","","methabolaete","","","tshibveledzwa tshi methaboḽizimu","","","","","","mbuyelampfuveloseleni","mbuyelanghayeloseleni","",""
"metastasis {spread of cancer cells}","","","metastase","uitsaaiing","","","","","ukunaba komhlaza","","","","lwenabosifo emtimbeni","kusabalala kwesifo","","","ukusabalala kwekankere","","","kanamo ya bolwetse","kanamo ya kankere","ukurhatjheka kwekankere","","kekokankere","","phatlalalokankere","","","bonamo ba mofetshe","bonamo ba kankere","","phaḓalalo ya ṱhahala","phaḓalalo ya khentsa","phaḓalalo ya pfuko","","","","hangalakomfukuzana","","",""
"microscopic <adj.>","","","mikroskopies","","","","","","-bonwa ngesibonakhulu","-ngenakubonwa ngeliso lenyama","","","-ngenakubonwa ngeliso","","","","-ngabonakali ngelihlo lenyama","-ngabonwa ngamehlo","","-nneyennye","","","","-nyenyane","","-bonwago fela ka maekherosekoupu","","","-bonahalang ka maekrosekoupu feela","","","zwi sa vhonwi nga maṱo","","","","","","-nga voniwaka hi xivonantsongo","","",""
"midwife","","","vroedvrou","","","","","","umzalisi","umbelekisi","","","umbelekisi","","","","umbelethisi","","","mmelegisi","","","","mmelegiši","","","","","mmelehisi","mopepisi","","mubebisi a tevhelaho na hayani","","","","","","sungukati","muvelekisi","",""
"migraine","","","migraine","skeelhoofpyn","","","","","intloko enkentezayo","imayigreyini","","","inhloko lenkenketsa sikhatsi lesidze","imayigreyini","","","imayigreni","","","tlhogo e kgolo","kopotlhogo e e tseneletseng","","","hlogokgolo","","maekereine","","","hlooho e tabolang","maekreini","","u rema ha ṱhoho ho kalulaho","maigreini","u rema ha ṱhoho ho fhanza","","","","ximawu","","",""
"milk powder","","","melkpoeier","","","","","","ubisi olungumgubo","","","","lubisi lolusamphuphu","","","","ibisi lepuphu","ibisi lepuyere","","lerolemašwi","","","","maswilerole","","","","","lebese la phofo","","","luvwanda lwa mafhi","","","","","","masiximapa","","",""
"mitosis {cell division}","","","mitose","","","","","","imayithosisi","","","","imayithosisi","kwehlukana kwetinhlayiya","","","ukuzihlukanisa kweseli","imayithosisi","","karoganogare ya disele","","","","katosele","","maethosisi","","","boikatiso ba disele","maethosese","","u ḓi dovholola ha tsiki","mathosisi","u ḓi dovholola ha sele","","","","nkavano wa sele","","",""
"moiety {chemistry}","","","gedeelte","deeltjie","deel","","","","inxenye yemoletyhuli","imoyethi","","","incenye yemolekhyuli","","","","ingcenye yemolekhyuli","imoyethi","","moweti","","","","mowethi","","","","","moethi","","","tshipiḓa tsha ndeme kha mushonga","moethe","","","","","xiphemu xa molikhulu","","",""
"molybdenum {trace mineral}","Mo","","molibdeen","","","","","","imolibhdenam","","","","imoledinamu","","","","imolebdenamu","","","mothale","molebedenamo","","","molidenamo","","","","","molidenamo","","","moḽibidemu","","","","","","molibidenamu","","",""
"morphine {medicine}","","","morfien","morfine","","","","","imofini","","","","imofini","sidzambisitinhlungu","","","umhlobo wesibulaliinhlungu","imofini","","mmofine","","","","mofini","","","","","mofini","","","mofini","","","","","","mofini","","",""
"mother liquor","mother lye","","moederloog","","","","","","intsalela yealkhoholi","","","","insalelaluketjeti","","","","umtshego","","","magweregwere","dikgatlha","","","hloa","","šifa","","","masalla","","","maṱuḓelo","","","","","","xihalakixidzinsalo","","",""
"motion sickness","","","reissiekte","bewegingsiekte","","","","","ukuguliswa yintshukumo yesithuthi","","","","kuguliswa tigitjelwa letihambako","","","","ukuphakanyelwa ziimbindi ngokukhamba ngeenkhwelo","","","bolwetse jwa tshepelo","","","","lehlatšomodukologo","","","","","ho ferolwa dibete ke dipalangwa","","","vhulwadzembangwa nga tshinamelwa","mudzunguluwo","","","","","ku vabyisiwa hi xifambo","","",""
"mottling {on e.g. tablets}","","","vlekking","","","","","","uxubekogwenxa lwepilisi","","","","kungapendeki kahle kweliphilisi","","","","ukuvelela kombala kevangiweko","ukuvelela kombala kefakiweko","","palafatso [sk. dipilisi]","","","","phatlalatšommalaphilisi","","","","","ho etsa pidisi maroboko","","","u dombela ha mivhala i sa lingani kha philisi","mothiḽingi","","","","","nkwalalo","","",""
"mucus","","","mukus","slym","","","","","uxakaxa","umfinya","umkhunyu","","lokusamafinyila","","","","ithwethwesi emzimbeni","","","borere","","","","mamina","","mukhase","","","lero le reberebe","mamina a mmele","","maduda","lumilaḓi","tshilangwa","","","","marhimila","","",""
"multivitamin","","","multivitamien","multivitamine","","","","","intlanganisela yeevithamini","","","","inhlanganiselamavithamini","","","","ihlanganisela yamavithamini","","","vithaminintsi","","","","vithamenentši","","","","","motswako wa divithamini","","","vithaminimvanganywa","","","","","","vhitamininyingi","","",""
"muscle relaxant","","","spierverslapper","","","","","","isiswabululizihlunu","","","","sitsambisiticubu","sitsambisimisipha","","","isithobimisipha","isiledlhisimisipha","","serepisamesifa","","","","seotlollamešifa","","seotlolladigoba","","","seotlollamesifa","","","tshileḓisamisipha","","","","","","xiolovisampfimbi","xiololamisiha","",""
"muscular system","musculature","","spierstelsel","muskulatuur","","","","","isixokelelwano sezihlunu","","","","luhleloticubu","luhlelomisipha","","","irherho lemisipha","","","matlhamaganyane a mesifa","","","","mokgwapeakanyošifa","","peakanyo wa digoba","","","taolo ya mesifa","","","sisṱeme ya misipha","","","","","","sisiteme ya mipfimbi","","",""
"musculoskeletal system","","","muskuloskeletale stelsel","","","","","","uphahla lomzimba","","","","luhlakamtimba","","","","irherho lephahla lamathambo nemisipha","","","matlhamaganyane a mesifa ya marapo","","","","mokgwapeakanyošifarapo","","","","","taolo ya mesifa le masapo","","","sisṱeme ya marambo","","","","","","sisiteme ya nkongotlo na mipfimbi","","",""
"mutagen","","","mutageen","","","","","","isitshintshisakhi sofuzo","imuthajeni","","","siguculisakhilufuto","","","","isibangitjhuguluko sesakhi sefuzo","isibangitjhuguluko sesithako sefuzo","","sefetolabosika","phetolasegotsa","","","sefetošatšini","","","","","sefetolajini","","","tshishandula tshifhaṱi tsha vhuvha","","","","","","xicincajini","xicincamatirhelo","",""
"mutation","","","mutasie","","","","","","utshintshosakhi sofuzo","","","","ingucukosakhilufuto","","","","ukutjhuguluka kwesakhi sefuzo","ukutjhuguluka kwesithako sefuzo","","phetogobosika","","","","phetogotšini","","","","","phetoho ya dijini","","","tshandukisavhuvha","","","","","","ncinco wa jini","","",""
"myalgia","muscle pain","","mialgie","spierpyn","","","","","iingqaqambo zezihlunu","","","","buhlungu bemisipha","buhlungu beticubu","","","ubuhlungu bemisipha","","","botlhoko jwa mesifa","","","","sehlabišifa","","sehlabigoba","","","bohloko mesifeng","","","u vhavha ha misipha","maiḽedzha","","","","","ku vava ka mpfimbi","","",""
"myopia","nearsightedness","","miopie","bysiendheid","","","","","isifo sokungaboni kude","","","","sifo sekungaboni khashane","","","","isifo sokubonela eduze","ubulwele bokubonela eduze","","ponelogaufi","","","","ponelokgauswi","","","","","ponelohaufi","","","luvhonelatsini","","","","","","vuvabyi byo vona kusuhi","","",""
"naphthalene","","","naftaleen","","","","","","inafthalini","","","","zamlandela","litje lemvunya","inafthalini","","ummode","","","nafethalini","","","","nafothalini","","","","","nafthalini","","","nafuthaḽini","","","","","","nafithalini","","",""
"narcosis","","","narkose","","","","","","ukuyotywa","","","","sifo sekusawoteka","","","","ubunghanghabali","inakhosisi","","thitibatso","","","","borokogolohlolwakenakhothiki","","nakhosisi","","","ho robatswa ka sethethefatsi","nakhosese","","nzidzivhalo","nakhosisi","","","","","ntitivalo","","",""
"narcotic {illegal drug, heroin}","","","narkotikum","narkotiese middel","dwelmmiddel","dwelm","","","isiyobisi","","","","sidvungamiva","inakhothikhi","","","isidakamizwa","","","segatsufatsi","","","","diokobatšithulanolemolao","","nakhothiki","","","sethethefatsi se seng molaong","nakhothiki","","tshidzidzivhadzi nakhothiki","","","","","","nakhotiki","","",""
"nasal <adj.>","","","nasaal","neus","","","","","-empumlo","","","","-kwetimphumulo","","","","-phathelene nepumulo","","","-nko","","","","-nko","","","","","-nko","","","ningo","","","","","","-nhompfu","","",""
"nasal spray","nasal mist","","neussproei","","","","","","isipreyi seempumlo","","","","sifutfo setimphumulo","","","","isifufuzeli seempumulo","","","sefafatsanko","","","","sefafatšanko","","","","","sefuthelo","senyanyatsi sa dinko","","tshifafadzeli tsha ningoni","tshipurei tsha ningoni","","","","","xifufutelanhompfu","","",""
"nausea","","","naarheid","mislikheid","","","","","isicaphucaphu","","","","kunyakuleka","","","","ukuphakanyelwa ziimbindi","ukuyabuka","","pherogosebete","petogo","tshelelego","","go feroga dibete","","go sellega","","","ho nyekelwa ke pelo","ho feroha dibete","","tsilingwane","","","","","","ku yima timbilu","ku hlamba timbilu","ku dlamuka",""
"nebuliser","","","nebuliseerder","verstuiwer","","","","","isivulimiphunga","inebhulayiza","","","umshinisivulamaphaphu","inebhulayiza","","","umtjhini wesivulirherho lokuphefumula","inebhulayiza","","sethusakhemo","sethibololamafatlha","sekabololamafatlha","","motšhenesebulamafahla","","nepulaesa","","","sethusamohemo","nebulaesa","","nebuḽaiza wa tshivulakhana","","","","","","xipfulaxifuva","nembulayizara","",""
"necrosis {death of living cells or tissue}","","","nekrose","weefselafsterwing","","","","","inikhrosisi","","","","imphehla","inikhrosisi","","","ukufa kwamaseli nofana amathitjhu","inekhrosisi","","boswadisele","","","","lehusele","","lehuthišu","nekherosisi","","ho shwa ha disele","nekhrosese","","u fa ha tsiki","u fa ha sele","nekhurosisi","","","","ku fa ka tisele","nekhirosisi","",""
"neon {noble gas}","Ne","","neon","","","","","","iniyoni","","","","iniyoni","","","","iniyoni","","","nione","","","","neyone","","","","","neone","","","niyoni","","","","","","niyoni","","",""
"neoplasm","","","neoplasma","","","","","","ukwanda kweeseli okungalawulekiyo","amatywina","iniyoplazim","","lokungaba simila lesigulisanako nalesingagulisani","lokungaba simila lesinebungoti noma lesingenabungoti","iniyoplazimu","","ukwanda kwamaseli okungalawulekiko","iniyoplazimu","","thunyotlhagala","tlhogotlhagala","","","kgolophetišosele","","neyopholaseme","","","hlahala e ntjha","niopolaseme","","tsikiphirandingano","","","","","","andzonkalawuleko wa tisele","","",""
"nephritis","","","nefritis","nierontsteking","","","","","ukukrala kwezintso","","","","kuvuvuka kwetinso","kudvumba kwetinso","","","ubuhlungu beziso","ukufutha kweziso","","thurugophilo","","","","tšhatšhamelothurugopšio","","neferaethisi","","","borurusi ba diphio","nefraethisi","","nzwimbatswio","","","","","","mpfimbayinsu","ndzhumbelayinsu","",""
"nephrotoxin","","","nefrotoksien","nefrotoksine","niertoksien","niertoksine","","","ityhefu ehlasela izintso","","","","butsi lobuhlasela tinso","","","","itjhefu esahlela iziso","","","botlholephilo","","","","mpholopšio","","","","","tjhefu diphiong","","","mulimoṱhaselatswio","nefurothokizimu","","","","","xihlaselayinsu","","",""
"neuralgia","","","neuralgie","senupyn","senuweepyn","","","","iingqaqambo zemithamboluvo","","","","kucacamba kwemitsambo","","","","iinhlabi zemizwa","","","setlhabi sa methapo","","","","sehlabimethapo","","neyarelatšia","","","lehlaba mothapokutlong","","","tshithavhi kha tsinga","","","","","","xitlhavi xa misiha","","",""
"neurotoxin","","","neurotoksien","neurotoksine","senuweetoksien","senuweetoksine","senutoksien","senutoksine","ityhefu ehlasela imithamboluvo","","","","butsi lobuhlasela imitsambo","","","","itjhefu esahlela imizwa","","","botlholemethapo","","","","mpholomethapo","","","","","tjhefu methapokutlong","","","mushonga wa u ṱaselatsikila dza vhuṱaledzi","mulimoṱhaselavhuṱaledzi","","","","","xihlaselamisiha","","",""
"nucleolus","","","nukleolus","kernliggaampie","","","","","inyukliyolasi","","","","umnyombo wenhlayiya","inyukliyilolasi","","","inyutliyolasi","","","nyutliliolase","","","","nyutleleolase","","","","","pelwana ya nyutlelease","nyutleolase","","nyukiḽioḽasi","","","","","","nyutliliyolasi","","",""
