"eng__001","eng__002","eng__003","eng__004","eng__005","afr__001","afr__002","afr__003","afr__004","afr__005","zul__001","zul__002","zul__003","xho__001","xho__002","xho__003","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","nso__002","nso__003","sot__001","sot__002","ven__001","ven__002","ven__003","ven__004","tso__001","tso__002","tso__003","tso__004"
"permanent residence permit","","","","","permanenteverblyfpermit","permanenteverblyfpermit","","","","imvume yokuhlala unomphela","","","imvume yokuhlala ngokusisigxina","","","imvume yekuhlala siphelane","imvume yekuhlala mlibe","","","imvumo yokuhlalela safuthi","","","","lekwalobonno la leruri","","","","lengwalotumelelo la bodudi bja sa ruri","","","phemiti ya boahi ya moshwelella","","thendelo ya vhudzuli ha tshoṱhe","","","","mpfumelelo wo tshama nkarhi hinkwawo","","",""
"personal freedom","","","","","persoonlike vryheid","","","","","inkululeko yomuntu","","","inkululeko yomntu","","","kukhululeka kwemuntfu","","","","ikululeko yomuntu","","","","kgololosego ya motho","","","","tokologo ya motho","","","tokoloho ya botho","","mbofholowo ya vhuṋe","","","","ntshuxeko wa munhu","","",""
"pinpoint <v.>","","","","","spesifiek omskryf","","","","","ukukhomba ngqo","ukushaya emhlolweni","","chaza ngokuchanekileyo","","","balula","","","","-beka ngesihloko","","","","supa ka go totobatsa","","","","go nepiša","","","qaqisa","","buletshedza","sumbedza","","","kongoma","","",""
"placard","","","","","plakkaat","","","","","uqwembe lokwazisa","","","iphekepheke","","","ingcwengcwe","iplakhadi","","","iphlakhadi","","","","polakate","","","","phousetara","","","polakhate","","plakhadi","","","","pulakhadi","","",""
"plastic ballot bag","","","","","plastiek-stembriefsak","","","","","isikhwama samavoti seplastiki","","","ingxowa yeplastiki yokugcina iivoti","","","sikhwama semavoti seplastiki","","","","isikhwama seplastiki samaphepha wokuvowuda","","","","kgetsana ya dipampiritlhopho ya polasetiki","kgetsana ya dibaloto ya polasetiki","","","mokotla wa dibouto wa polasetiki","","","mokotla wa dibalote wa polasetiki","","bege ya baḽotho ya plasitiki","","","","nkwama wo hlawulela wa pulasitiki","nkwama wo vhotela wa pulasitiki","",""
"plebiscite","referendum","","","","referendum","","","","","inhlolovo","","","uvoto lukawonkewonke","","","kutfola luvo ngekuvota","","","","ukuthola amazizo ngokuvowuda","ireferendamu","","","tlhophokatlholo","","","","mokgwakgetho wa bohle wa bosetšhaba","referantamo","","polebisaete","referendamo","mbudzisavhathu","","","","ku kuma mavonelo ya vanhu hinkwavo hi ku vhota","","",""
"policy {set of plans}","","","","","beleid","","","","","inqubomgomo","","","umgaqo-nkqubo","","","inchubomgomo","","","","umthethokambiso","umgomo","","","pholisi","maikemisetso","","","pholisi","molaotshepedišo","","leano","","mbekanyamaitele","phoḽisi","","","pholisi","tirhele","",""
"political advertising","","","","","politieke reklame","","","","","ukukhangisa kwezombusazwe","","","inkqubo yogayonkxaso yezopolitiko","","","kutikhangisa ngetepolitiki","kutikhangisa ngetembusave","","","ukukhangisela zepolotiki","","","","papatso ya sepolotiki","","","","kwalakwatšo ya sepolitiki","","","ho thaothela dipolotiki","","khungedzelo ya poḽotiki","","","","navetisoxipolitiki","","",""
"political equality","","","","","politieke gelykheid","","","","","ukulingana kwezombusazwe","","","ulingano kwezopolitiko","","","kulingana ngetembusave","kulingana ngetepolitiki","","","ukulingana kezepolotiki","","","","tekatekano ya sepoletitki","","","","tekatekano ya sepolitiki","","","tekano dipolotiking","","ndinganyelo ya poḽotiki","","","","ndzinganoxipolitiki","","",""
"political event","","","","","politieke geleentheid","politieke gebeurtenis","","","","umcimbi wezombusazwe","","","umsitho wezopolitiko","","","umcimbi wetepolitiki","sibhimbi setembusave","sibhimbi setepolitiki","umcimbi wetembusave","umnyanya wezepolotiki","umkhandlo wezepolotiki","","","tiragalo ya sepoletiki","","","","tiragalo ya sepolitiki","","","ketsahalo ya dipolotiki","","tshiwo tsha poḽotiki","","","","xiendlekoxipolitiki","","",""
"political office","","","","","politieke amp","","","","","isikhundla sezombusazwe","","","isikhundla sezopolitiko","","","sikhundla setembusave","sikhundla setepolitiki","","","isikhundla sezepolotiki","i-ofisi yezepolotiki","","","kantoro ya sepoletiki","ofisi ya sepoletiki","","","ofisi ya sepolitiki","","","ofisi ya dipolotiki","","ofisi ya poḽotiki","","","","xiyimoxipolitiki","","",""
"political opponent {opposition}","","","","","politieke opponent","","","","","imbangi yezombusazwe","","","umphikisi kwezopolitiko","umchasi kwezopolitiko","","imbangi kutembusave","imbangi kutepolitiki","","","imbangi yezepolotiki","","","","moganetsi wa sepoletiki","moemakgatlhanong wa sepoletiki","","","moganetši wa sepolitiki","","","mohanyetsi dipolotiking","","muhanedzani wa poḽotiki","","","","mukaneti wa swa xipolitiki","","",""
"political party","","","","","politieke party","","","","","iqembu lezombusazwe","","","iqela lezopolitiko","","","licembu letembusave","licembu letepolitiki","","","isiqhema sepolitiki","","","","lekokosepoletiki","lekokosepoletiki","","","mokgatlo wa dipolotiki","phathi ya dipolotiki","","mokga wa dipolotiki","","ḽihoro ḽa poḽotiki","","","","vandla ra tipolitiki","","",""
"political power","","","","","politieke mag","","","","","amandla ezombusazwe","","","igunya ngokwezopolitiko","","","emandla kutembusave","emandla kutepolitiki","","","amandla wezepolotiki","","","","maatla a sepoletiki","","","","maatla a sepolitiki","","","matla a dipolotiki","","maanḓa a zwa poḽotiki","","","","matimbaxipolitiki","","",""
"political rights","","","","","politieke regte","","","","","amalungelo ezombusazwe","","","amalungelo ngokwezopolitiko","","","emalungelo etepolitiki","emalungelo etembusave","","","amalungelo wezepolotiki","","","","ditshwanelo tsa sepoletiki","","","","ditokelo tša sepolitiki","","","ditokelo dipolotiking","","pfanelo dza poḽotiki","","","","tifanelo ta swa xipolitiki","tifaneloxipolitiki","",""
"political tolerance","","","","","politieke verdraagsaamheid","","","","","ukubekezelelana kwezombusazwe","","","ukunyamezelana ngokwezopolitiko","","","kubeketelelana kutepolitiki","kubeketelelana kutembusave","","","ukubekezelelana kezepolotiki","","","","kamogelano ya sepoletiki","itshokelano ya sepoletiki","kgotlhelelo ya sepoletiki","","kgotlelelano sepolitiking","","","mamellano dipolotiking","","u konḓelelana ha poḽotiki","","","","ntiyiselano wa swa xipolitiki","ntiyiselanoxipolitiki","",""
"politician","","","","","politikus","","","","","usombusazwe","usopolitiki","","umpolitiki","umntu wezopolitiko","","sombusave","sopolitiki","","","usopolotiki","","","","mopoletiki","radipoletiki","","","mopolitiki","","","radipolotiki","","rapoḽotiki","","","","n’watipolitiki","","",""
"politics","","","","","politiek","","","","","umbusazwe","ipolitiki","","ezopolitiko","","","tembusave","ipolitiki","","","ipolotiki","","","","dipoletiki","","","","dipolitiki","","","dipolotiki","","poḽotiki","","","","tipolitiki","","",""
"polling hours","","","","","stemtye","","","","","izikhathi zokuvota","","","amaxesha okuvota","","","sikhatsi sekukhetsa","sikhatsi sekuvota","","","ama-iri wokuvowuda","ama-awara wokuvowuda","isikhathi sokuvowuda","","diura tsa go tlhopha","","","","dinako tša go kgetha","","","dihora tsa ho kgetha","","awara dza u vouta","awara dza u khetha","","","tiawara to hlawula","tiawara to vhota","",""
"polling officer","voting official","","","","kiesbeampte","","","","","umbhekelisikhungo sokuvota","","","igosa lezonyulo","","","sisebenti elukhetfweni","","","","isiphathiswa sezamakhetho","","","","motlhankedi wa ditlhopho","","","","mohlankedi wa dikgetho","","","mohlanka wa dikgetho","","muofisiri wa zwa khetho","","","","muofisiri wa swa nhlawulo","","",""
"pollster","","","","","meningsopnemer","meningspeiler","","","","umeluleki wezokhetho","","","ingcali yezonyulo","","","umeluleki ngetelukhetfo","","","","usiyazi kezamakhetho","","","","motlhophisi","moitseanape wa ditlhopho","","","moeletšidikgethong","","","setsebi sa dikgetho","","muḓivhi wa khetho","","","","munhu wa swa nhlawulo","munhu wa swo vhota","",""
"population register","","","","","bevolkingsregister","","","","","irejista eneminingwane yabantu","","","uluhlu oluqulethe iinkcukacha zoluntu","","","luhlu lwelinanibantfu","irejista yelinanibantfu","","","irejista yenani labantu","","","","rejisetara ya batho botlhe","","","","retšisetara ya setšhaba","","","rejisetara ya baahi","","redzhisṱara ya vhadzulapo","","","","rhijisitara ra vanhu hinkwavo","","",""
"postal vote","","","","","posstem","","","","","ukuvota ngeposi","","","ukuvota ngeposi","","","kuvota ngeliposi","","","","ukuvowuda ngeposo","","","","tlhopho ka tirisoposo","","","","boutu ka poso","","","kgetho ka poso","","u vouta nga poswo","u khetha nga poswo","","","ku hlawula hi poso","ku vhota hi poso","",""
"poster","","","","","plakkaat","","","","","iphosta","isithombe sokukhangisa","","iphekepheke","ipowusta","","sitfombesikhangisi","iphosta","","","iphosta","","","","phouseta","","","","phoustara","","","phousetara","","phostara","phosta","","","phositara","","",""
"potential voter","","","","","potensiële kieser","moontlike kieser","","","","ongavota","ongahle avote","","oselungelweni lokuvota","onokuvota","","lofanele kuvota","lolungele kuvota","lovumeleke kuvota","","ofanele ukuvowuda","","","","mokatlhopha","","","","motho yo a ka boutago","","","mokgethi ya molaong","","muvouti o tendelwaho","mukhethi o tendelwaho","","","muvhoti wo ringanela","muhlawuri wo ringanela","",""
"potential voting station","","","","","potensiële stemlokaal","moontlike stemlokaal","","","","isikhungo okungahle kuvotelwe kusona","","","isikhululo esilungele ukuvotela","","","indzawo lengaba siteshi sekuvotela","","","","isitetjhi esingavowudisela","","","","seteišene sa go ka tlhophela","","","","lefelo leo le ka dirwago setiši sa go bouta","","","setsi se molaong ho kgethela","","tshiṱitshi tsha u voutela tsho tendelwaho","tshiṱitshi tsha u khethela tsho tendelwaho","","","xitichi xo hlawulela lexi nga ringanela","xitichi xo vhotela lexi nga ringanela","",""
"powers and functions","","","","","bevoegdhede en werksaamhede","","","","","amandla nemisebenzi","","","amagunya nemisebenzi","","","emandla nemisebenti","","","","amandla nemisebenzi","","","","dithata le ditiro","maatla le ditiro","","","maatla le mešomo","","","matla le mesebetsi","","maanḓa na mishumo","","","","matimba na mitirho","","",""
"pre-election <adj.>","","","","","voorverkiesing","","","","","ngaphambi kokhetho","","","phambi konyulo","","","ngembi kwelukhetfo","","","","ngaphambi kwekhetho","","","","- pele ga ditlhopho","","","","nako ya pele ga dikgetho","","","pele ho dikgetho","","thangelakhetho","","","","ku nga si fika nhlawulo","","",""
"pre-election poll","","","","","voorverkiesingspeiling","","","","","inhlolovo ngaphambi kokhetho","","","intlolo-vo phambi konyulo","","","luhlolovo ngembi kwelukhetfo","","","","amazizo wangaphambi kwekhetho","","","","patlomaikutlo pele ga ditlhopho","","","","dikgethotekolo","","","thonyo ya maikutlo pele ho dikgetho","","ṱhoḓisiso ya thangelakhetho","","","","ku twa mavonelo ya vanhu ku nga si fika nhlawulo","","",""
"pre-election report form","","","","","voorverkiesingsverslagvorm","","","","","ifomu lombiko ngaphambi kokhetho","","","ifom yoniko-ngxelo phambi konyulo","","","lifomu lembiko wangembi kwelukhetfo","","","","iforomombiko langaphambi kwekhetho","","","","foromopegelo ya pele ga ditlhopho","","","","foromo ya pego ya nako ya pele ga dikgetho","","","foromo ya tlaleho ya pele ho dikgetho","","fomo ya muvhigo ya thangelakhetho","","","","fomo ya xiviko ku nga si fika nhlawulo","","",""
"preferential voting","","","","","voorkeurstemming","","","","","ukuvotela obathandayo ngokubalandelanisa","","","inkqubo yonyulo yokuhlela abagqatswa","","","kuvota ngekulandzelanisa bamelilukhetfo","","","","ukuvowuda ngokulandelanisa abongikhethani","","","","mokgwatlhophotatelano","","","","go bouta ka tatelanyo","","","kgetho ka tlhahlamanyo","","u vouta nga u tevhekanya miraḓo","u khetha nga u tevhekanya miraḓo","","","ku hlawula hi ku longoloxa vayimelakulanghwa","ku vhota hi ku longoloxa vayimelakulanghwa","",""
"premier","","","","","premier","","","","","undunankulu","","","inkulumbuso","inkulubaphathiswa","","ndvunankhulu","","","","undunakulu","","","","tonakgolo","moporemiri","moprimia","","tonakgolo","moporemia","","tonakgolo","","mulangavundu","muphrimia","","","phirimiya","","",""
"premiership","","","","","premierskap","","","","","ubundunankulu","","","ubunkulumbuso","ubunkulubaphathiswa","","bundvunankhulu","","","","ubundunakulu","","","","botonakgolo","boporimia","boprimia","","botonakgolo","boporemia","","botonakgolo","","vhulangavundu","vhuphrimia","","","vuphirimiya","","",""
"president {country}","","","","","president","","","","","umengameli","","","umongameli","","","mengameli","","","","umengameli","","","","tautona","moporesidente","moporesitente","mopresidente","moporesitente","","","poresidente","","phresidennde","","","","puresidente","","",""
"president-elect","","","","","aangewese president","","","","","okhethelwe ubumengameli","","","oza kuba ngumongameli","","","lokhetselwe bungameli","","","","umengameli ongakathomi ukusebenza","","","","tautona yo a iseng a tlhophiwe","ntlhopheng wa boporesidente","ntlhopheng wa bopresidente","","moporesitente yoo a sego a hlonamišwa","","","mokgethwa wa boporesidente","","phresidennde o khethwaho","","","","puresidente loyi a nga si vekiwaka ximfumo","","",""
"presiding officer","","","","","voorsittende beampte","","","","","umphathisikhungo sokuvotela","","","igosa elilawula isikhululo sokuvotela","","","umphatsisiteshi sekuvotela","umphatsisikhungo sekuvotela","","","isiphathiswa esengameleko","","","","motlhankedimogolo","","","","hlogo ya setiši sa dikgetho","hlogo ya seteišene sa dikgetho","","motsamaisi wa dikgetho","","mutshimbidzatshiṱitshi","","","","mufambisi wa xitichi xo vhotela","","",""
"procedure","","","","","prosedure","","","","","inqubo","","","inkqubo","","","inchubo","","","","ikambiso","","","","mokgwatsamaiso","","","","tshepedišo","","","tsamaiso","","maitele","","","","maendlelo","","",""
"proclamation of votes {final election results}","","","","","proklamasie van stemme","proklamasie van verkiesingsuitslae","","","","ukumenyezelwa kwamavoti","","","ukubhengezwa kweevoti","","","kumenyetelwa kwemavoti","","","","ukumenyezelwa kwamavowudi","","","","kitsiso ya divoutu","kgweeletsodipholo","","","tsebišo ya dipoelo tša dikgetho","","","phatlalatso ya dikgetho","","nḓivhadzo ya mvelelo","","","","xitiviso xa tivhoti","","",""
"progressive <adj.>","","","","","progressief","","","","","okunenqubekelaphambili","","","-nenkqubela","","","-chubekako","-tfutfukako","","","-thuthukako","","","","-tswetsengpele","tswetsepele","","","ya tšwelopele","","","-tswelang pele","","bvelela","","","","-nhluvuko","","",""
"progressive <n.>","","","","","progressiewe","progressief","","","","umesekinqubekelaphambili","","","umxhasi-nkqubela","","","umesekeliluntjintjo","","","","umsekelitjhuguluko","","","","motshegetsatswelopele","","","","moamogeladiphetogo","","","motshehetsatswelopele","","muṱanganedzatshanduko","","","","mutsakelahundzuko","","",""
"prohibited conduct","","","","","verbode gedrag","","","","","ukuziphatha okungavumelekile","","","ukuziphatha okungavumelekanga","","","kutiphatsa lokungakavumeleki","","","","ukuziphatha okungakavunyelwa","","","","maitsholo a a ileditsweng","","","","maitshwaro ao a ganetšwago","","","boitshwaro bo sa dumellwang","","mikhwa yo iledzwaho","","","","matikhomelo lawa yirisiweke","","",""
"proportion","","","","","proporsie","","","","","isilinganiso sobukhulu esibekiwe","","","umlinganiselo wamagunya","","","kulinganisa nemphumela","","","","isilinganiselo samandla","","","","tekanyetso","","","","tekatekano","","","tekanyetso ya matla","","ndivhanele","","","","ndzinganelo","","",""
"proportional representation","PR","list system","","","proporsionele verteenwoordiging","PV","lysstelsel","","","ukwabiwa kwezihlalo ngokwamavoti","","","ulwabiwo lwezikhundla ngokweevoti","","","kwabiwa kwetihlalo ngekwemavoti","","","","ukujameleka ngokwabalandeli","ukwaba iinhlalo ngokwabalandeli","","","boemedi ka tekanyetso","","","","boemedi bja tekatekano","kemedi go ya ka bontši bja bouto","","kemedi ya kgekgethane","","nyimele ya ndivhanele","","","","vuyimeri byo ringanela","","",""
"proportional representation ballot","","","","","stemming vir proposionele verteenwoordiging","","","","","ukhetho lokumeleleka ngokulinganayo","","","uvoto lolwabiwo lwezihlalo","","","libhalothi lekwabiwa kwetihlalo","","","","ivowudi yokujameleka ngokulingeneko","","","","tlhopho ya boemedi ka tekanyetso","","","","kgetho ya boemedi bja tekatekano","","","balote ya kemedi ya kgekgethane","","baḽotho ya nyimele ya ndivhanele","","","","maendlelo yo hlawula ya vuyimeri byo ringanela","maendlelo yo vhota ya vuyimeri byo ringanela","maendlelo yo balota ya vuyimeri byo ringanela",""
