,eng ,eng definition ,category,afr ,nde ,xho ,zul ,nso ,sot ,tsn ,ssw ,ven ,tso 
690,Poverty gap,"The difference between the poverty line and mean income of the poor, expressed as a ratio of the poverty line.",Poverty ,Armoedegaping,Ukutjhiyana kobuchaka,Umsantsa wendlala,Igebe lobuphofu/ lobubha,Magato a bodiidi,Sekgeo sa bofutsana,Sekgala sa lehuma,Ligebe lebuphuya,Tshikhala tsha vhushai,Vangwa ra vusweti
691,Poverty gap index (P1),"The proportion by which an individual or a household is below the poverty line.
Note: The poverty gap multiplied by the headcount index, gives the poverty gap index.",Poverty ,Armoedegaping-indeks,Ikomba yendima yokutjhiyana kobuchaka(i-P1),Isalathiso somsantsa wendlala (iPI),Inkomba yegebe lobuphofu/lobubha,Kelothupeto ya magato a bodiidi,Tshupo ya sekgeo sa bofutsana; tshupane ya sekgeo sa bofutsana (P1),Tshupanesekgala ya lehuma,Inkhomba yeligebe lebuphuya,Tshikalatshikhala tsha vhushai (P1),Xikombo xa vangwa ra vusweti
692,Poverty line,Line drawn at a particular level of income or consumption. Households/individuals whose incomes fall below a given level of the poverty line or whose consumption level is valued at less than the value of the poverty line are classified as poor. See relative poverty line and absolute poverty line.,Poverty ,Armoedegrens,Izinga lobuchaka,Iqondo lendlala,Umudwazinga wobuphofu/wobubha,Legatokgao la bodiidi,Moedi wa bofutsana,Kemolehuma,Sehlukaniso sebuphuya,Tshikalavhushai,Mpimo wa vusweti
693,Poverty profile,"A description of how the extent of poverty varies across subgroups of a given population, characterised by, for example, their gender, region of residence, type of economic activity, source of income, etc.",Poverty ,Armoedeprofiel,Ihlathululobunjalo yobuchaka,Ubume bendlala,Umumo wobuphofu/ wobubha,Tlhalooseemo ya bodiidi,Matshwao a phapano ya bofutsana,Tshedimosetsotsenelelo ka ga lehuma/porofaele,Simolwati sebuphuya,halusavhushai,Xiyimo xa vusweti
694,Priority poverty indicators,"Country-specific indicators that, taken together, provide an overview of the state of poverty in that country.",Poverty ,Prioriteitsarmoedeaanwysers,Iinkomba zeqalontanzi lobuchaka,Izalathiso zendlala eziphambili,Izinkomba eziqavile zobuphofu/ zobubha,Dithupetohlokwa ta bodiidi,Ditshupane tsa sehlooho tsa bofutsana,Ditlapele tsa tshupalehuma,Tinkhomba tebuphuya letisembili,Tsumbandivhiswa dza vhushai,Swikombiso swa vusweti swa xirhangana
695,Relative poverty,The position of an individual or household compared with the average income in a given country.,Poverty ,Relatiewe armoede,Ubuchaka obulingeneko,Indlala eqikelelwayo,Ubuphofu obubalulekayo/obuqhathanisekayo,Maemo a bodiidi ka papio,Bofutsana bo amanngwang le naha,Papisolehuma,Lizinga lebuphuya ngekwesimo,Mbambedzavhushai,Vusweti hi yelaniso
696,Relative poverty line,"Under the relative poverty line approach, a household can be defined as poor relative to others in the same society or economy. Thus a relative poverty line varies as the average of total population consumption varies. It involves drawing an arbitrary line by identifying the proportions (such as mean, median, or even a fraction of the mean) and establishing a poverty line(s) from expenditure or income data. See poverty line.",Poverty ,Relatiewe armoedegrens,Izinga lobuchaka obulingeneko,Iqondo lendlala eliqikelelwayo,Umudwazinga wobuphofu obubalulekayo/ obuqhathanisekayo,Legatokgao la bodiidi ka papio,Moedi wa bofutsana bo amanngwang le naha,Papiso kemolehuma,Sehlukaniso sebuphuya ngekwesimo,Tshikalambambedzavhushai,Mpimo wa vusweti wa xiheri
697,Administered prices,"The price of a product, which is set consciously by an individual producer or group of producers, and/or any price which can be determined or influenced by government, either directly, or through one or other government agencies/institutions without reference to market forces.",Prices ,Geadministreerde pryse,Iintengo eziphakanyisiweko,Amaxabiso aqingqiweyo,Intengo/amanani alawuliwe,Dithekotaolwa,Ditheko tse laolwang,Ditlhotlhwa tse di beetsweng seelo,Tintsengo letincunyiwe,Mitengondaulwa,Mixavo leyi lawuriwaka
698,Annual inflation rate,The change in the CPI for all items of the relevant month of the current year compared with the CPI for all items of the same month in the previous year expressed as a percentage.,Prices ,Jaarlikse inflasiekoers,Isilinganiso setjhugulukontengo elipheleleko ngomnyaka,Umlinganiselo wamandla emali ngonyaka,Izinga lokukhuphuka kwamandla emali ngonyaka,Kelo ya kgolo le theogo ya ditheko/kelo ya kgolo le theogo ya infoleiene,Sekgahla sa phetoho ya ditheko ka selemo; infleishini,Kelo ya phetogotlhotlhwa ka ngwaga,Lizinga lemandlamali lemnyaka,Phimo ya tshanduko ya mitengo ya waha,Mpimo wa inifulexini wa lembe
699,Annual percentage change (index),The change in the index of the relevant month of the current year compared with the index of the same month in the previous year expressed as a percentage.,Prices ,Jaarlikse persentasieverandering (indeks),Itjhuguluko lamaphesente ngomnyaka,Utshintsho lwepesenti ngonyaka ngamnye (isalathiso),Ukuguquka kwephesenti ngonyaka (inkomba),Phetogo ya kelothupeto ka ngwaga,Phesente ya phetoho ka selemo (tshupane),Phetogo ya phesente ka ngwaga,Luntjintjo lwemaphesenti ngemnyaka,Tshanduko kha ana nga waha(tshikali),Ncinco wa tiphesente hi lembe (xikombo)
700,Average annual inflation rate,The change in the average CPI for all items of one year compared with the average CPI for all items of the previous year expressed as a percentage.,Prices ,Gemiddelde jaarlikse inflasiekoers,Isilinganiso setjhugulukontengo elipheleleko se-avareji ngomnyaka,Umyinge womlinganiselo wamandla emali ngonyaka,Isilinganisomvama/ i-avareji yezinga lokukhuphuka kwamandla emali ngonyaka,Kelokakareo ya kgolo le phokotego/infoleiene ka ngwaga,Palohare ya sekgahla sa infleishini ka selemo,Palogare ya kelo ya phetogotlhotlhwa ka ngwaga,Silinganisomkhatsi selizinga lemandlamali semnyaka,Phimotshikati kha tshanduko ya mitengo nga waha,Mpimo wa inifulexini wa lembe wa mpimoxikarhi
701,Average annual percentage change,The change in the average index of one year compared with the average index of the previous year expressed as a percentage.,Prices ,Gemiddelde jaarlikse persentasieverandering,Itjhuguluko lamaphesente we-avareji ngomnyaka,Umyinge wotshintsho lwepeseti ngonyaka,Isilinganisomvama/ i-avareji yokuguquka kwephesenti ngonyaka,Phetogokakareto ya kelothupeto ka ngwaga,Palohare ya phetoho ya phesente ka selemo,Phetogo ya palogare ya phesente ka ngwaga,Silinganisomkhatsi seluntjintjo lwemaphesenti ngemnyaka,Tshandukotshikati kha ana nga waha,Ncinco wa tiphesente ta lembe wa mpimoxikarhi
702,Constant prices (GDP),A valuation concept expressed at the prices prevailing during a fixed reference period or base period.,Prices ,Konstante prys,Iintengo ezinzinzileko,amaxabiso angaguqu-guqukiyo,Amanani angaguquki,Ditheko te di sa fetogego,Theko / Poreisi tse tsitsitseng,Ditlhotlhwatlhomamo / Ditlhotlhwanitamo,Intsengo lengagucuki,Mitengo i sa shanduki (kha tshifhinga tsho tewaho),Tihakelo leti nga cinciki
703,Consumer price index (CPI),An index that measures the price of a fixed basket of consumer goods and services.,Prices ,Verbruikersprysindeks (VPI),Ikomba yetjhugulukontengo yabathengi enganamalinzalo yebhondi,Isalathiso sotshintsho lwamaxabiso (iCPI),Inkomba yamanani abathengi (i-CPI),Kelothupeto ya ditheko ta badirii,Tshupane ya ditheko tsa basebedisi (CPI),Tshupane ya ditlhotlhwa tsa badirisi,Inkhomba yentsengo yebatsengi (i-CPI),Tshikala- / tsumbamutengo wa vharengi (CPI),Xikombo xa nxavo wa vatirhisi (XNV)
704,Consumer price index excluding interest rates on mortgage bonds (CPIX),"The CPI excluding interest rates on mortgage bonds (CPIX) is derived by excluding the interest rates on mortgage bonds from the basket of goods and services, which is used to compile the Consumer Price Index.",Prices ,Verbruikersprysindeks uitsluitende rentekoerse op verbande (VPIX),Ikomba yetjhugulukontengo yabathengi enganabhondi / enganamalinzalo yebhondi,Isalathiso sotshintsho lwamaxabiso kungabandakanywa inzala yentengo yezindlu (iCPIX),Inkomba yamanani abathengi ingabalwanga inzalo yezikweletu zezindlu (i-CPIX),Kelothupeto ya ditheko ta badirii go sa akaretwe mothelo wa tswalo go dikoloto ta meago,Tshupane ya ditheko tsa bareki ntle le tswala ditefellong tsa matlo,Tshupane ya ditlhotlhwa tsa badirisi ntle le kelomorokotso mo tshireletsodisugeng,Inkhomba luntjintjo lwentsengo yebatsengi kukhishwe lizinga lentalo kumabhondi esibambiso (i-CPIX),Tshikala- / tsumbamutengo wa vharengi tshayaphimonzwalelo kha khadzimiso ya vhudzulo (CPIX),Xikombo xa nxavo wa vatirhisi lexi nga katsiki mpimo wa ntswalo wa tihakelo eka tibondo (XNVK)
705,Contribution of specific products to the total PPI,The monthly (annual) contribution of a specific product or group of products to the total PPI is calculated by multiplying the weight of the index with the monthly (annual) change of the index divided by the index for All Items.,Prices ,Bydraes van spesifieke produkte tot die totale VPI,Umthelela wemikhiqizo ethileko ye-PPI ikomba yetjhugulukontengo yokukhiqiza / yokuveza),Igalelo leemveliso ezithile kwiPPI iphela,Iqhaza lemikhiqizo ethile esambeni senkomba yamanani abakhiqizi,Seabe sa ditweletwa te itego go PPI ka moka,Seabo sa dihlahiswa tse itseng ho PPI yohle,Seabe sa dikuno tse di totilweng go TDB yotlhe,Umtselela wemkhicitotsite ku-PPI ngalokuphelele,Thikhedzo ya zwibveledzwatiwa kha hanganyelo ya tsumbamutengo / tshikalamutengo wa vhabveledzi (PPI),Ku hoxa xandla ka swimakiwa swo kongoma eka PPI hinkwayo
706,Core index,"The core index is derived by exclusions from the CPI on the basis that changes in their prices are policy. Note: Exclusions from the CPI to obtain the core index, and the reasons for exclusion is as follows: Fresh and frozen meat and fish: Prices may be highly volatile, particularly during and following periods of drought. Fresh and frozen vegetables and fresh fruit and nuts: Prices may be highly volatile from month to month due to their sensitivity to climatic conditions. Interest rates on mortgage bonds and overdrafts/personal loans: These are excluded due to their perverse effect on the CPI. A tightening in monetary policy to counter inflation pressures would cause interest rates to rise and be reflected in the interest cost component of measured inflation. This, in turn, could provoke a further tightening of monetary policy resulting in excessive movements in the inflation rate. Changes in VAT (value added tax): VAT is predominantly determined by government (fiscal policy). Assessment rates: These taxes are predominantly determined by local government.",Prices ,Kernindeks,Ikomba yetjhugulukontengo khulu / mbala/ qobo / qakathekileko/ eyonayona/ ezijameleko,Undoqo/umongo wesalathiso,Inkombamnyombo,Kelothupeto ya motheo,Tshupane ya motheo,Tshupanetota,Inkhombamsuka,Tsumba-/tshikalamutengothikho,Xikombonkulu
707,Core inflation,"A measure designed in relation to the specific structure of a country's economy, derived by the change in the Core index of the relevant month of the current year compared with the Core index of the same month in the previous year expressed as a percentage.",Prices ,Kerninflasie,Itjhugulukontengombala,Undoqo/umongo wokunyuka kwamaxabiso,Izingamnyombo lokukhuphuka kwamandla emali,Kelo ya kgolo le phokotego/infoleiene ya motheo,Infleishini ya motheo,Phetogotlhotlhwatota,Emandlamali langumsuka,Tshandulo ya mutengothikho,Inifulexininkulu
708,CPI,See consumer price index.,Prices ,VPI,I-CPI,ICPI,i-CPI,CPI,CPI,TDB,i-CPI,CPI,XNV
709,CPIX,See consumer price index excluding interest rates on mortgage bonds.,Prices ,VPIX,I-CPIX,ICPIX,I-CPIX,CPIX,CPIX,TDBNKTD,i-CPIX,CPIX,XNVK
710,Establishment (Employment and Price),The smallest economic unit that functions as a separate entity.,Prices ,Bedryf (Werkverskaffing en Pryse),Irhwebo/igatja lerhwebo,Ishishini (iNgqesho namaXabiso),Uphiko lwenkampani (umsebenzi nenani),Lekalanakgwebo,Lekala (Kgiro le Ditheko),Lekalakgwebo,Ligatja lekuhweba,Tshiimiswa (Mishumo na Mutengo),Bindzu (vuthori na nxavo)
711,Indicator products,Products whose sale value represents 80% of the total value of sales (turnover) in an industrial subgroup.,Prices ,Aanwyserprodukte,Imikhiqizo eyikomba / esitjengiso,Isalathisi-mveliso,Imikhiqizo eyinkomba,Ditweletwataetaboleng,Dihlahiswa tsa tshupo,Dikunotshupo,Imikhicito leyinkhomba,Zwibveledzwatiwatsumbamutengo,Swimakiwa swa xikombo
712,Inflation,"The persistent change in the general level of prices. Note: Two sets of measures of inflation are most often used, namely monthly inflation and annual inflation. Monthly inflation is defined as the percentage change in the index on a month-by-month basis whereas annual inflation is calculated as the percentage change in the index over the last twelve months.",Prices ,Inflasie,Itjhugulukontengo eliphikeleleko,Utshintsho lwamaxabiso,Ukukhuphuka kwamandla emali,Kgolo le theogo ya ditheko,Infleishini,Phetogotlhotlhwa,Emandlamali,Tshanduko ya mitengo,Inifulexini
713,Inflation rate,The annual percentage change in the CPI for all items of the relevant month of the current year compared with the CPI for all items of the same month in the previous year expressed as a percentage.,Prices ,Inflasiekoers,Isilinganiso setjhugulukontengo eliphikeleleko,Umlinganiselo wotshintsho lwamaxabiso,Izinga lokukhuphuka kwezinga lamandla emali,Kelo ya kgolo le theogo ya ditheko/kelo ya kgolo le theogo ya infoleiene,Sekgahla sa infleishini,Kelo ya phetogotlhotlhwa,Lizinga lemandlamali,Phimo ya tshanduko ya mitengo,Mpimo wa inifulexini
714,Monthly percentage change,The change in the index of the relevant month compared to the index of the previous month expressed as a percentage.,Prices ,Maandelikse persentasieverandering,Itjhuguluko lamaphesente ngenyanga,Utshintsho lwepesenti nyanga zonke,Ukuguquka kwephesenti ngenyanga,Phetogo ya kelothupeto ya kgwedi,Phetoho ya phesente ka kgwedi,Phetogo ya phesente ka kgwedi,Luntjintjo lwemaphesenti ngenyanga,Tshanduko kha ana nga wedzi,Ncinco wa tiphesente wa nhweti
715,Overall average annual percentage change,The change in the average index of one year compared with the average index of the previous year expressed as a percentage.,Prices ,Algehele gemiddelde jaarlikse persentasieverandering,Itjhuguluko elipheleleko le-avareji yamaphesente ngomnyaka,Iavareji yotshintsho ngokubanzi lwepesenti yonyaka,Isilinganiso jikelele sokuguquka kwamaphesenti ngonyaka,Phetogokakareto ya kelothupeto ya ngwaga,Palohare e akaretsang ya phesente ya phetoho ya selemong,Phetogo ya palogareyotlhe ya phesente ka ngwaga,Silinganisomkhatsi seluntjintjo loluphelele lwemaphesenti ngemnyaka,Tshandukotshikatinyangaredzi kha ana nga wedzi,Ncinco wa tiphesente wa lembe wa mpimoxikarhi hinkwawo
716,Regulated prices,"Administered prices that are monitored and controlled by government policy.
Note: To this end, price regulation does not necessarily imply the presence of an economic regulator, but the restriction on the extent to which prices may vary, depending on governments policy objective.",Prices ,Gereguleerde pryse,Iintengo eziqintelweko,Amaxabiso alawulwayo,Amanani alawuliwe,Dithekotaolwa,Ditheko tse laolwang,Ditlhotlhwa tse di laolwang,Tintsengo letibekelwe imigomo,Mitengolangwa,Mixavo leyi lawuriwaka
717,Weights,The relevant importance of the indicator product in that subgroup. Note: The weight of a product is calculated by dividing the actual value of sales of the relevant indicator product by the total value of sales in that subgroup.,Prices ,Gewig,Ubungako,Igalelo,Amandla,Keloboleng,Bohlokwa,Boleng,Bungako,Ndeme ya zwibveledzwa,Mitiko
718,Asset,A resource controlled by an entity as a result of past events; and from which future economic benefits are expected to flow to the entity.,Private Sector ,Bate,Ilifa,Izinto onazo,Impahla/ ifa,Thoto,Letlotlo,Thoto,Imphahla,Thundu,Rifuwo
719,Current assets (Private Sector),"Assets including debtors, cash, other financial shares and closing values of inventories, likely to be converted to cash, or consumed within a year.",Private Sector ,Bedryfsbates (Private Sektor),Amafa wanje / wesikhatjhana,Izinto onazo (ihlelo labucala),Izimpahla zangaleso sikhathi (umkhakha ozimele),Dithoto ta bjale,Matlotlo a jwale (lekala la poraevete),Dithoto tse di sutisegang,Timphahla tanyalo,Thundu dza zwino (Sekhithara dza Phuraivethe),Rifuwo ra sweswi (xiyenge xa phurayivhete)
