eng,afr,zul,xho,ssw,nbl,nso,tsn,sot,ven,tso
mixed economy,gemengde ekonomie,umnotho oxubile,uqoqosho olungumxube,umnotfo lohlangene,umnotho ovangiweko,ekonomi ya mohlakanelwa,ikonomi ya mmaraka e e tlhakanetsweng,moruo e kopaneng,ikonomi yo vanganaho,ikhonomi ya nhlengelo
mixed market economy,gemengdemarkekonomie,umnotho oxubile wezimakethe,uqoqosho lwemakethi olungumxube,umnotfo wemakethe lohlangene,umnotho wemakethe ovangiweko,ekonomi ya mohlakanelwa ya mmaraka,tshuto ya badiri,moruo wa Mmaraka o kopaneng,ikonomi ya maraga yo vanganaho,ikhonomi ya nhlengelo
mobility of labour,arbeidsmobiliteit,ukushintsha kwabasebenzi umsebenzi,ukufudeka kwabasebenzi,kuhamba kwebasebenti,ikghono lokutjhidiswa kwabasebenzi,tšhuto ya mošomo,taolo ya madi,phallo ya basebetsi,vhuendanamishumo,mfambafambo wa vatirhi
monetarism,monetarisme,umbono wokulawulwa komnotho wukuphakelwa kwemali,ulawulo-mali,lokusamali,imonetharizimu,taolo ya tšhelete,balaodi ba madi,taolo ya Tjhelete,mashelenimalangi,vumonetari
monetarists,monetariste,osomnotho abathi ukwehla kwamandla emali kudalwa wukwenyuka kokuphakelwa kwemali,oosolawulo-mali,bosotimali,amamonetharisti,balaolatšhelete,motheo wa madi,babusi ba tsa ditjhelete,vhatikedzamashelenimalangi,vamonetari
monetary base,monetêre basis,isisekelo sezezimali,isiseko-mali,timali letingaphandle,isisekelo seemali,motheo wa tšhelete,taolo ya motheo wa madi,motheo wa (di-)tjhelete,Tshelede i re nnḓa,Masungulo ya swa mali
monetary base control,monetêrebasisbeheer,ukulawulwa kwesisekelo semali,ulawulo lwesiseko-mali,kwengamela timali letingaphandle,ukulawulwa kwesisekelo seemali,taolo ya motheo wa tšhelete,seatisa-madi,taolo ya Motheo wa (di-) tjhelete,u langa tshelede i re nnḓa,ndzawulo ya masungulo ya swa mali
monetary multiplier,monetêre vermenigvuldiger,umphindaphindi wemali,uphindaphindo-mali,kuphindzaphindza imali,ibuyabuyelelo lokukhula kwemali yenarha,seatišatšhelete,pholisi ya madi,seatisi sa tjhelete,tshiandisamasheleni,xiandzisi xa mali
monetary policy,monetêre beleid,inqubomgomo yezezimali,ipolisi yemali,umgomo wetimali,umthethokambiso weemali,pholisi ya tšhelete,molao wa madi,leano la Ditjhelete,phoḽisi ya zwa tshelede,nawu wa swa mali
monetary rule,monetêre reël,umthetho wezezimali,umthetho-mali,umtsetfo wetimali,umthetho weemali,molao wa tšhelete,madi,mmuso wa tsa Ditjhelete,mulayo wa zwa tshelede,nawu wa swa mali
money,geld,imali,imali,imali,imali,tšhelete,letlotlo la madi,tjhelete,tshelede,mali
money capital,geldkapitaal,imali yokuthenga impahla,inkunzi eyimali,sicalo semali,imali yokuthenga ipahla,letlotlo la tšhelete,go tswa le go tsena ga madi,tjhelete,tshelede,rifumo ra swa mali
money flows,geldvloei,ukuphuma nokungena kwemali,ukuhamba kwemali,luhambo lwetimali,izombelezomali,kelelo ya tšhelete,go fora ga madi,phallo ya ditjhelete,u tshimbila ha tshelede,nkhuluko wa mali
money illusion,geldillusie,ukukhohliseka ngokwenyuswa kwemali,okungathi yimali,inkhohliso yemali,ukuzikhohlisa ngemali,boiphoro ka tšhelete,lotseno lwa madi,kgopolo ka Tjhelete,u gonya ha miholo ha mafanedza,xihoxo xa swa mali
money income,geldinkomste,imali engenayo,ingeniso yemali,imali lengenako,ingeniso yemali,moputso wa tšhelete,mmaraka wa madi,lekeno la Tjhelete,muholo wa tshelede,muholo wa mali
money market,geldmark,imakethe yemali,imakethi yemali,imakethe yemali,imanimakethe,mmaraka wa tšhelete,diakhaonto tsa madi a a bankilweng a mmaraka,mmaraka wa Tjhelete,maraga wa tshelede,nxaviso wa mali
money market deposit accounts (MMDAs),geldmarkdepositorekenings (MMDA’s),ama-akhawunti amadiphozi emakethe yemali (ama-MMDA),iiakhawunti zedipozithi yemakethi yemali (iiMMDA),ema-akhawunti lacuketse imakethe yemali (MMDAs),ama-akhawundi wokudibhozitha imanimakethe (Ama-MMDA),diakhaonte tša peeletšo ya mmaraka wa tšhelete,matlole a a tlhakanetsweng a mmaraka wa madi,diakhaonto tsa diphositi tsa Mmaraka wa Tjhelete (MMDAs),akhunthu dza maraga ya tshelede,tinkota to veka mali leyi xavisiwaka
money market mutual funds (MMMFs),geldmarkeffektetrusts (MMMF’s),izikhwama zabatshala imali ngokuyihlanganisa (ama-MMMF),iiakhawunti zotyalomali ezineenzala (iiMMMF),timali tebudlelwane betimakethe (NMMFs),iimali zemanimakethe ekuzwenwe ngazo (Ama-MMMF),dikhwama tša kamano tša mmaraka wa ditšhelete,seatisa-madi,matlole a Mutual a Mmaraka wa Tjhelete (MMMFs),masheleni a maraga wa tshelede,timali leti xavisiwaka
money multiplier,geldvermenigvuldiger,umphindaphindi wezimali,uphindaphindo-mali,kuphindzaphindza imali,ibuyabuyelelo lokukhula kwemali yenarha,katiša tšhelete,kabo ya madi,seatisi sa Tjhelete,nyandiso ya tshelede,xiandzisi xa mali
money supply,geldvoorraad,ukuphakelwa kwemali,ukufumaneka kwemali,kufakwa kwemali,isamba esipheleleko somnotho wenarha,kabo ya tšhelete,mogwebanosi,phepelo ya tjhelete,nḓisedzo (nḓisedzo) ya tshelede,mphakelo wa mali
monopolist,monopolis,usomabhizinisi okunguye kuphela onegunya lokuthengisa ngento ethile,usomonopoli,bagodli bemagunya,ibhizinisi yabantu abamarhamaru,mogwebanoši,kgaisano ya kgwebonosi,"mosheshatsohle, ke hore Moikonomi ya hwebang ntle le Tlhodisano e phethahetseng",vhamonophoḽi,mukwangabindzwini
monopolistic competition,monopolistiese mededinging,umncintiswano wosomabhizinisi okuyibo kuphela abanegunya lokuthengisa ngento ethile,ukhuphiswano olubumonopoli,umcudzelwano webagodli bemagunya,iphaliswano lamabhizinisi wabantu abamarhamaru,phadišano ya bogwebanošo,kgwebonosi,tlhodisano e sa phethahalang,muṱaṱisano wa Vhumonophoḽi,mphikizano wa vukwangabindzwini
monopoly,monopolie,imonopholi,imonopoli,kugodla emagunya,isakhiwo sabamarhamaru,kgwebanoši,monoposoni,"ho shesha tsohle, ho hloka tlhodisano",monophoḽi,makwangabindzwini
monopsony,monopsonie,imonopsoni,imonopsoni,kugodla kutsenga,imonophsoni,morekanoši,mathata a kotsi ya ngwao,ho ba moreki a le mong,monopsoni,monopsoni
moral hazard problem,morelegevaarprobleem,ukushitnsha ukwenza ngenxa yenkontileka noma isivumelwano,ingxaki yobungozi bokuziphatha,tinkinga letiletfwa similo,umraro wengozi yokuziphatha,bothata bja kotsi ya maitshwaro,tshuto e e tsamaisanang le khefo ya tlhokego,bothata ba kotsi ya botho/maikutlo,thaidzo ya shandushandu,xiphiqo xa swa vunene
movement along demand curve,beweging met die vraagkromme,umnyakazo egwincini lezidingo,ukuhambela ngakwigophe lemfuneko,kunyakata kwemdvwebo wetidzingo,umsikinyeko omagega negombe lokufuneka kwepahla,mosepelo tseleng ya mokgapomo wa nyako,tshuto e e tsamaisanang le khefo ya tlamelo,tshisinyo e tsamaelanang le mothinya wa ditlhoko,tsukunyeo ya kheve ya zwi lilwaho,mfambafambo eka girafu ya swilaveko
movement along supply curve,beweging met die aanbodkromme,umnyakazo egwincini lokuphakelwayo,ukuhambela ngakwigophe lokufumaneka,kunyakata kwekhevu yekufaka,umsikinyeko omagega negombe lokuthengiswa kwepahla,mosepelo tseleng ya mokgapomo wa kabo,molao wa MR= MC,tshisinyo e tsamaelanang le mothinya wa diphepelo,tsukunyeo ya kheve ya nḓisedzo,mfambafambo eka girafu ya mphakelo
MR = MC rule,MR = MC-reël,i-MR = umthetho we-MC,umthetho we-MR = MC,umtsetfo we-MR = MC,i-MR = umthetho we-MC,MR=Molao wa MC,molao wa MRP=MRC,molawana wa MR = MC,mulayo wa MR = MC,nawu wa MR = MC
MRP = MRC rule,MRP = MRC-reël,i-MRP = umthetho we-MRC,umthetho we-MRP = MRC,umtsetfo we-MRP = MRC,i-MRP = umthetho we-MRC,MRP=Molao wa MRC,mekgatlho ya dinaga-dintsi,molawana wa MRP = MRC,mulayo wa MRP = MRC,nawu wa MRP = MRC
multinational corporations,multinasionale korporasies,izinkampani ezitshala emazweni amaningi,iinkampani ezikumazwe ngamazwe,tinkopolo temavekati,iinhlangano zeentjhabatjhaba,dikgwebo tša mafase a mantši,palontsi,dikhamphani tsa matjhabatjhaba,koporasi dza ṱhanganyamashango,mabindzu ya matikonyingi
multiple counting,veelvoudige telling,ukubala ngokuphindaphinda,ukubala kaninzi,kuphindzaphindza kubala,ukubala ngesibuyelelo,dipalopalo tša bontši,seatisi,ho phetapheta palo,mbalalunzhi,ku hlayela ko tala
multiplier,vermenigvuldiger,umphindaphindi,uphindaphindo,kuphindzaphindza,imalthiphlaya,katiši,seatisi (seatisa koketso ya boleng),sephetapheti,nyandisi,xiandzisi
multiplier (injections multiplier),vermenigvuldiger (inspuitingvermenigvuldiger),umphindaphindi (umphindaphindi wokufakwayo),ukuphindaphinda (ukuphindaphinda kokongezwa),kuphindzaphindza (umjovo wekuphindzaphindza),imalthiphlaya (imalthiphlaya yalokho okufakiweko),katiši (katiši ya tšhelete ye e tsentšwego,sephetho sa seatisi,seatisi (seatisi sa phepelo),nyandisi (phaḓambuelo),xiandzisi
multiplier effect,vermenigvuldigereffek,umphumela womphindaphindi,umphumo wokuphindaphindwa,umphumela wekuphindzaphindza,umphumela wokubuyelelwa,khuetšo ya katiši,fomula ya seatisi (seatisi sa koketso ya boleng),katleho ya Katiso,ṱhuṱhuwedza nyandisi,nkhumbo wa xiandzisi
multiplier formula (injections multiplier),vermenigvuldigerformule (inspuitingvermenigvuldiger),ifomula yomphindaphindi (umphindaphindi wokufakwayo),ifomula yokuphindaphinda (ukuphindaphinda kokongezwa),indlela yekuphindzaphindza (umjovo wekuphindzaphindza),ifomyula yemalthiphlaya (imalthiphlaya yalokho okufakiweko),fomula ya katiši(katiši ya tšhelete ye e tsentšwego),boikaegalano jwa bontsi,seatisi (seatisi sa phepelo),fomuḽa ya nyandisi,fomula ya xiandzisi
mutual interdependence,onderlinge afhanklikheid,isimo esiwumthelela wokuguqula intengo,ukuxhomekeka komnye komnye,kwetsembana kwamunye ngamunye,ukuyamelana okubuyiselanako,kgolano ya kamano,temogo ya bontsi,tshebeletsano ya ba babedi,nyitonyeḓani,nseketelano
mutual recognition,onderlinge erkenning,ukwamukelwa nhlangothi zonke kwemithetho (yamazwe e-EU),ukwamkelana,budlelwane bamunye ngamunye,ukuhlonipha okubuyiselanako,temogo ya kamano,,temoho ya phapanyetsano,milayomieḓani,ku tivana
narrow definitions of money,eng definisies van geld,imali enokusetshenziswa ngqo,ingcaciso engaphangalalanga yemali,umcondvo lomncane wemali,iinhlathululo ezirhunyeziweko zemali,ditlhaloso tše sesane tša tšhelete,ditlhaloso tse dinnye tsa madi,ditlhaloso tsa tjhelete tse sa lekanang,ṱhalutshedzo ya tshelede,nhlamuselo yo khuma ya mali
Nash equilibrium,Nash-ewewig,ukulinganisa ngokweneshi,i ekhwilibram ka-Nash,kulinganisa kwaNashi,i-khwilibhriyamu ka-Nash,tekanetšo ya Nash,tekano ya Neshe,tekatekanyo ya Nash,ndinganyiso ya Nash,ndzingano wa Nash
national debt,nasionale skuld,isikweledu sikazwelonke,ityala lelizwe,sikwelede sesive,isikolodo sakarhulumende wenarha,sekoloto sa setšhaba,molato wa bosetšhaba,mokitlane wa Naha,tshikolodo tsha shango,xikweleti xa tiko
national expenditure on domestic product (E),nasionale besteding aan binnelandse produk (E),ukuchithwa kwemali emkhiqizweni waphakathi ezweni (E),inkcitho yelizwe kwimveliso yelizwe (E),kutsenga kwesive emkhicitweni wasekhaya (E),iindleko zenarha zomkhiqizo wekhaya (E),tshenyegelo ya setšhaba go setšweletšwa sa gae (E),ditshenyegelo tsa Bosetšhaba mo kumong ya naga,ditjeo tsa Naha ho Dihlahiswa tsa Naha (E),mbadelo dza shango kha u bveledza zwibveledzwa zwa haya.,matirhiselo ya mali ya tiko eka ximakiwa xa la kaya
national income,nasionale inkomste,imali etholakalayo kuzwelonke,ingeniso yelizwe,imali lengena esiveni,ingeniso yenarha,letseno la setšhaba,lotseno lwa bosetšhaba,lekeno la Naha,mbuelo dza shango,malinghena ya tiko
national income accounting,boekhouding van nasionale inkomste,amasu okulinganisa umkhiqizo ngokubanzi,ubalomali lwengeniso yelizwe,ema-akhawunti langena esiveni,imbalomali yengeniso yenarha,thutatšhupaletlotlo ya letseno la setšhaba,palotlotlo ya lotseno lwa bosetšhaba,tlhokomelo ya matlotlo ya lekeno la Naha,thekhiniki dza Mbuelo dza shango,ntivotinkota wa malinghena ya tiko
nationalised industries,genasionaliseerde nywerhede,izimboni ezingaphansi kukahulumeni,ushishino olwenziwe olwelizwe,timboni letentiwe taba tesive,amabubulo karhulumende,diintaseteri tše di dirilwego tša setšhaba,diintaseteri tse di dirilweng tsa bosetšhaba,diindasteri tsa setjhaba,indaiṱirii dza muvhuso,mabindzu ya swa vumaki ya rixaka
natural level of output,natuurlike uitsetvlak,izinga elivamile lokukhiqizwayo,umgangatho wemiphumo ongokwendalo,umphumela welizinga lemvelo,izinga lemvelo lomphumela,tekanetšo ya tlhago ya tšweletšo,selekano sa tlholego sa ntshetsontle,boemo ba hlaho ba sephetho,ḽevheḽe ya mveledzo yo raloho (ho dzulaho ho ralo),mpimo wa ximakiwa wa ntumbuluko
natural level of unemployment,natuurlike werkloosheidsvlak,izinga elivamile lokungaqasheki,umgangatho wokungaqeshwa ongokwendalo,lizinga lemvelo lekweswelekala kwemsebenti,izinga lemvelo lokutlhogeka komsebenzi,tekanetšo ya tlhago ya tlhokego ya mešomo,selekano sa tlholego sa botlhokatiro,boemo ba hlaho ba kgaello ya mosebetsi,ḽevheḽe ya vhushayamishumo ho raloho,mpimo wa ntumbuluko wa ku pfumaleka ka mitirho
natural monopoly,natuurlike monopolie,imonopholi evamile,imonopoli yendalo,kugodla emagunya kwemvelo,ukuzithengisela ngokwakho umkhiqizo emakethe,bogwebanoši bja tlhago,kgwebonosi ya tlholego,mosheshatsohle wa hlaho,monophoḽi wo raloho,makwangabindzwini wa ntumbuluko
natural monopoly,natuurlike monopolie,imonopholi evamile,imonopoli yendalo,kugodla emagunya kwemvelo,ukuzithengisela ngokwakho umkhiqizo emakethe,bogwebanoši bja tlhago,kgwebonosi ya tlholego,mosheshatsohle wa hlaho,monophoḽi wo raloho,makwangabindzwini wa ntumbuluko
natural rate of unemployment,natuurlike werkloosheidskoers,izinga lokungaqasheki elivamile,izinga lokungaqeshwa elingokwendalo,silinganiso semvelo sekweswelakala kwemsebenti.,,lebelo la tlhago la tlhokego ya mešomo,seelo sa tlholego sa botlhokatiro,sekgahla sa hlaho sa kgaello ya mesebetsi,phimo ya vhushayamishumo ho raloho,mpimo wa ntumbuluko wa ku pfumaleka ka mitirho
natural resources,natuurlike hulpbronne,izinsizakalo zemvelo,indyebo yendalo,umcebo wemvelo,imithombo yomnotho yemvelo,methopo ya tlhago,didiriswa tsa tlholego,leruo la hlaho,zwiṱuṱuwedzi zwa mupo,switirhisiwa swa ntumbuluko
natural wastage,natuurlike personeelvermindering,ukulahleka kwabasebenzi okuyimvelo,inkcitho yendalo,kumosa kwemvelo,ukuphungulwa kweensebenzi ngokungazijamiseleli.,ditshenyo tša tlhago,ditshenyo tsa tlholego,tahlehelo ya hlaho,u fhungudza ho ralaho,ku lahlekeriwa ka ntumbuluko
near money,kwasigeld,duzane nemali,okuphantse kubeyimali,madvute nemali,ipahla esamali,tšeo di kago fetolelwa go tšhelete gabonolo,madi a a gaufi,seka-tjhelete,masheleni a re tshanḓani,mali leyi nga kusuhi
necessity,noodsaaklikheid,isidingo,isidingo,kufuneka,ifuneko,dihlokwa,setlhokwa,hlokahalo,tshibveledzwatshikolokolo,xilaveko
needs,benodigdhede,izidingo,iimfuneko,tidzingo,iimfuneko,dinyakwa,ditlhokego,ditlhoko,tshibveledzwatshikolokolo,swilaveko
negative GDP gap,negatiewe BBP-gaping,ukungafinyeleli kwe-GDP kokunokukhiqizeka,isithuba esingesihle se-GDP,umkhatsi weGDP lolandvulako,isikhala esiphikisako se-GDP,sekgoba se sempe sa GDP,phatlha e e sa siamang ya GDP,sekgeo se bosula sa GDP,phambano i sa anḓi ya GDP,vangwa ra nandzulo ra GDP
negative income tax,negatiewe inkomstebelasting,inqubo yemihlomulo yentela,irhafu yengeniso engentle,umtselo wemali lengenako lolandvulako,umthelo wengeniso ophikisako,motšhelo wa letseno wo mobe,lekgetho la lotseno le le sa siamang,lekgetho la lekeno le hanyetsang,muthelo wa mbuelo u sa anḓi,xibalo xa muholo xa nandzulo
negative relationship,negatiewe verhouding,ubudlelwane bokungavumelani,ulwalamano olungeluhle,budlelwane lobulandvulako,ukuhlobana okuphikisanako,tswalano ye mpe,kamano e e sa siamang,kamano e hanyetsang,vhushaka vhu sa anḓi,vuxaka bya nandzulo
net domestic product,netto binnelandse produk,insalela yomkhiqizo wangaphakathi ezweni,intsalela yemveliso yelizwe,insalela yemkhicito wasekhaya,isalela yenani lobungako bemikhiqizo ekhiqiziweko enarheni,setšweletšwa sa gae seo se šalago,kumo ya naga e e salang,sehlahiswa sa nete (nett) sa lehae,masalela (mbuelo) a zwibveledzwa zwa haya.,nsalo eka ximakiwa xa laha kaya
net export effect,netto-uitvoereffek,umthelela wensalela yokudayiswa kwamanye amazwe,umbono wesiphumo seempahla ezithengiselwa emazweni,umphumela wekukhokha insalela,umthelela wesalela yeempahla ezithunyelwa emazweni wangaphandle,khuetšo ya diyantle tšeo di šetšego,sephetho sa thomelontle se se salang,tshisinyo ya thomellontle ya nete,mveledzwa dza masalela a vhuvhambadzaseli,nkhumbo wa nsalo wa leswi xaviseriweke matiko ma le handle
net exports,netto uitvoere,insalela yokudayiswa kwamanye amazwe,intsalela yempahla eziphuma elizweni,insalela yekukhokha,isalela yeempahla ezithunyelwa emazweni wangaphandle,diyantle tšeo di šalago,dithomelontle tse di salang,diromelwantle tsa nete,masalela a mbambadzaseli,nsalo wa leswi xaviseriweke matiko ma le handle
net foreign factor income,netto inkomste van buitelandse produksiefaktore,insalela yemali engenayo yokuhweba kwamazwe ngezinsizakalo,intsalela yengeniso yorhwebo lwamazwe ngobutyebi,imali yetintfo tangaphandle letiyinsalela,isalela yengeniso yefektha yamazwe wangaphandle,katišo ye e šalago ya letseno la ka ntle,lotseno lo lo salang lwa boditšhaba,lekeno la nete la ntlha ya ka ntle,masalela a mbadelaseli dza shango,nsalo wa malinghena ya xivangelo xa matiko mambe
net investment,netto belegging,insalela yokutshala imali,intsalela yotshalomali,insalela yekutalisa,isisomali lesalela,peeletšo ye e šalago,peeletso e e salang,letsete la nete,masalela a vhubindudzi,nsalo wa vuvekisi
net investment income,nettobeleggingsinkomste,insalela yemali engeniswa wukutshala imali,intsalela yonyuko lotyalomali,insalela yekutalisa timali,isalela yengeniso yesisomali,letseno leo le šalago la peeletšo,lotseno lwa peeletso lo lo salang,lekeno la letsete la nete (nett),masalela a mbuelo dza vhubindudzi,nsalo wa malinghena ya vuvekisi
net national product (NNY),netto nasionale produk (NNY),insalela yomkhiqizo kuzwelonke (NNY),intsalela yomveliso welizwe (I-NNY),kususa kumoseka ku-GNY,isalela yomkhiqizo wenarha (i-NNY),setšweletšwa sa naga sa go šala,kumo ya bosetšhaba e e salang (NNY),sehlahiswa sa naha sa nete (NNY),masalela a zwibveledzwa zwa shango (NNY),nsalo wa ximakiwa xa tiko (NNY)
net present value of an investment,netto huidige waarde van ’n belegging,insalela yokutshala imali ngokwenani lamanje,ixabiso langoku lentsalela yotyalomali,isibalo samanje sensalela yekutalisa,isalela yamandla wakhathesi wesisomali,kholo ya bjale ye e šetšego ya peeletšo,bolengpalo jwa ga jaana jo bo salang jwa peeletso,boleng ba jwale ba nete ba letsete,masalela a re hone zwino a vhubindudzi,nsalo wa nkoka wa sweswi wa vuvekisi
net private domestic investment,netto privaat binnelandse belegging,isamba ngqo sokutshaliwe kwezwe kwangasese,intsalela yotyalomali lobuqu elizweni,kutalisa kwasekhaya kwangasese kwensalela,isalela yesisomali langeqadi lenarha,peeletšo ya gae ya ye e šetšego ya poraebete,peeletso e e salang ya selegae mme e le ya poraefete,letsete la naha la poraefete la nete,masalela a vhubindudzi ha phuraivethe ha haya,nsalo wa vuvekisi bya xihundla bya laha kaya
net taxes,netto belasting,izinsalela zentela,intsalela yerhafu,imitselo yensalela,isalela yemithelo,metšhelo ye e šetšego,makgetho a a salang,lekgetho la nete (nett),masalela a mithelo,nsalo wa swibalo
net transfers,netto oordragte,insalela yokwedluliswayo,intsalela yentlawulo zokudlulisela,kwendluliswa kwensalela,isalela yeemali zedluliso,difetišwa tše di šetšego,diphetiso tse di salang,diphetisetso tsa nete,masalela a ṱhirantsifee,nsalo wa mali leyi nga hundzisiwa kuu hundzisa minchumu leyi nga ri ki mali
net worth,netto waarde,izimpahla eziwumgogodla wengcebo,intsalela yobutyebi,linani lensalela,isalela yenani elipheleleko leempahla,dikholo tše di šetšeng,bolengpalo jo bo salang,boleng ba nete,masalela a ndaka ya feme,nkoka wa nsalo
